Fold,Run,Baseline_TP,Hybrid_TP,Difference_TP,Baseline_TN,Hybrid_TN,Difference_TN,Baseline_FP,Hybrid_FP,Difference_FP,Baseline_FN,Hybrid_FN,Difference_FN,Baseline_Accuracy,Hybrid_Accuracy,Difference_Accuracy,Baseline_Precision,Hybrid_Precision,Difference_Precision,Baseline_Recall,Hybrid_Recall,Difference_Recall,Baseline_F1_score,Hybrid_F1_score,Difference_F1_score,Baseline_Best_loss,Hybrid_Best_loss,Difference_Best_loss,Baseline_Iterations,Hybrid_Iterations,Difference_Iterations
1,1,58,55,-3,99,105,6,16,10,-6,2,5,3,0.897143,0.914286,0.017143,0.783784,0.846154,0.062370,0.966667,0.916667,-0.050000,0.865672,0.880000,0.014328,0.145842,0.035484,-0.110358,17,22,5
1,2,58,51,-7,107,108,1,8,7,-1,2,9,7,0.942857,0.908571,-0.034286,0.878788,0.879310,0.000522,0.966667,0.850000,-0.116667,0.920635,0.864407,-0.056228,0.217732,0.000001,-0.217732,17,100,83
1,3,54,52,-2,102,109,7,13,6,-7,6,8,2,0.891429,0.920000,0.028571,0.805970,0.896552,0.090582,0.900000,0.866667,-0.033333,0.850394,0.881356,0.030962,0.151504,0.000001,-0.151503,17,28,11
1,4,59,58,-1,98,110,12,17,5,-12,1,2,1,0.897143,0.960000,0.062857,0.776316,0.920635,0.144319,0.983333,0.966667,-0.016667,0.867647,0.943089,0.075442,0.175417,0.027567,-0.147851,17,22,5
1,5,53,53,0,109,106,-3,6,9,3,7,7,0,0.925714,0.908571,-0.017143,0.898305,0.854839,-0.043466,0.883333,0.883333,0.000000,0.890756,0.868852,-0.021904,0.263710,0.000001,-0.263710,17,100,83
1,6,54,55,1,102,108,6,13,7,-6,6,5,-1,0.891429,0.931429,0.040000,0.805970,0.887097,0.081127,0.900000,0.916667,0.016667,0.850394,0.901639,0.051246,0.308222,0.000001,-0.308221,17,100,83
1,7,53,56,3,109,110,1,6,5,-1,7,4,-3,0.925714,0.948571,0.022857,0.898305,0.918033,0.019728,0.883333,0.933333,0.050000,0.890756,0.925620,0.034864,0.132686,0.000734,-0.131951,17,28,11
1,8,55,55,0,100,108,8,15,7,-8,5,5,0,0.885714,0.931429,0.045714,0.785714,0.887097,0.101382,0.916667,0.916667,0.000000,0.846154,0.901639,0.055485,0.169070,0.040906,-0.128164,17,22,5
1,9,48,53,5,107,108,1,8,7,-1,12,7,-5,0.885714,0.920000,0.034286,0.857143,0.883333,0.026190,0.800000,0.883333,0.083333,0.827586,0.883333,0.055747,0.278039,0.000001,-0.278038,17,100,83
1,10,55,54,-1,99,105,6,16,10,-6,5,6,1,0.880000,0.908571,0.028571,0.774648,0.843750,0.069102,0.916667,0.900000,-0.016667,0.839695,0.870968,0.031273,0.265007,0.030403,-0.234604,17,28,11
1,11,56,53,-3,106,105,-1,9,10,1,4,7,3,0.925714,0.902857,-0.022857,0.861538,0.841270,-0.020269,0.933333,0.883333,-0.050000,0.896000,0.861789,-0.034211,0.268373,0.000001,-0.268373,17,100,83
1,12,56,58,2,106,105,-1,9,10,1,4,2,-2,0.925714,0.931429,0.005714,0.861538,0.852941,-0.008597,0.933333,0.966667,0.033333,0.896000,0.906250,0.010250,0.137086,0.035160,-0.101925,17,34,17
1,13,55,56,1,110,106,-4,5,9,4,5,4,-1,0.942857,0.925714,-0.017143,0.916667,0.861538,-0.055128,0.916667,0.933333,0.016667,0.916667,0.896000,-0.020667,0.197070,0.027105,-0.169965,17,22,5
1,14,54,56,2,106,107,1,9,8,-1,6,4,-2,0.914286,0.931429,0.017143,0.857143,0.875000,0.017857,0.900000,0.933333,0.033333,0.878049,0.903226,0.025177,0.209867,0.011924,-0.197943,17,34,17
1,15,55,54,-1,108,106,-2,7,9,2,5,6,1,0.931429,0.914286,-0.017143,0.887097,0.857143,-0.029954,0.916667,0.900000,-0.016667,0.901639,0.878049,-0.023591,0.156900,0.000001,-0.156899,17,100,83
1,16,59,56,-3,105,109,4,10,6,-4,1,4,3,0.937143,0.942857,0.005714,0.855072,0.903226,0.048153,0.983333,0.933333,-0.050000,0.914729,0.918033,0.003304,0.227244,0.000001,-0.227243,17,100,83
1,17,54,55,1,102,103,1,13,12,-1,6,5,-1,0.891429,0.902857,0.011429,0.805970,0.820896,0.014925,0.900000,0.916667,0.016667,0.850394,0.866142,0.015748,0.188641,0.046335,-0.142306,17,22,5
1,18,57,55,-2,104,106,2,11,9,-2,3,5,2,0.920000,0.920000,0.000000,0.838235,0.859375,0.021140,0.950000,0.916667,-0.033333,0.890625,0.887097,-0.003528,0.146490,0.000313,-0.146177,17,76,59
1,19,58,56,-2,105,107,2,10,8,-2,2,4,2,0.931429,0.931429,0.000000,0.852941,0.875000,0.022059,0.966667,0.933333,-0.033333,0.906250,0.903226,-0.003024,0.158541,0.000002,-0.158540,17,46,29
1,20,57,55,-2,105,107,2,10,8,-2,3,5,2,0.925714,0.925714,0.000000,0.850746,0.873016,0.022270,0.950000,0.916667,-0.033333,0.897638,0.894309,-0.003329,0.191837,0.007511,-0.184326,17,28,11
