,Age,Age_Padding,Sex,Sex_Padding,Chest_Pain_0,Chest_Pain_1,Chest_Pain_2,Chest_Pain_3,Chest_Pain_Padding,Resting_BP,Resting_BP_Padding,Serum_Chol,Serum_Chol_Padding,Fasting_BS,Fasting_BS_Padding,Resting_ECG_0,Resting_ECG_1,Resting_ECG_2,Resting_ECG_Padding,Max_Heart_Rate,Max_Heart_Rate_Padding,Exercise_Angina,Exercise_Angina_Padding,ST_Depression,ST_Depression_Padding,ST_Slope_0,ST_Slope_1,ST_Slope_2,ST_Slope_Padding,Num_Vessels,Num_Vessels_Padding,Thalassemia_0,Thalassemia_1,Thalassemia_2,Thalassemia_Padding
Age,1.0,0.05688935089674132,0.0320324418971599,-0.21890240931529018,-0.010060391348931523,0.16635582260995355,,0.10770775863560919,0.15392148862294916,-0.04467409320743633,0.11340102593832566,,0.2199148286303916,0.005446416962040172,-0.2268439189848139,0.13774804646207667,0.14565168833868694,-0.04465084323649134,-0.37864140645367944,0.15813664596739432,,0.16091034524934464,0.15813664596739432,0.09498281100849902,0.15066432652523618,-0.011605548734679921,0.1210251882284302,0.1383522781898028,-0.18785207225114275,0.21941265691614406,-0.08579290583265946,-0.016945965967639105,0.020384281207283538,0.13116356934005166,-0.10177423255785259
Age_Padding,0.05688935089674132,1.0,-0.003667796861840094,-0.16540029141618068,-0.06403112096152609,0.18491060686350266,,-0.06276112321064088,0.11495610742731678,-0.17936268759621482,0.15832120545023487,,0.07536975544145914,0.07155938240019694,-0.015281654012525854,0.06559850468045869,-0.048613479816523926,0.024128271543965452,-0.20665168454624094,0.10787036041223987,,0.15520445865029311,0.10787036041223987,-0.002721478955095642,0.1283297082987815,-0.09120106128996554,0.02063984587211366,0.06630529724532816,0.02346258967598085,-0.03784662957472288,0.179642734440195,-0.29069198574758986,0.0696881403749628,0.12777513962649642,0.103992677597227
Sex,0.0320324418971599,-0.003667796861840094,1.0,-0.11079710423453672,-0.12245648015719887,-0.2481310477989949,,0.024327990637904872,0.020198929081169242,0.013570336605597666,-0.06144484661638433,,0.04329841207021814,-0.025181648258293957,-0.0666508224246598,-0.011968540149150145,0.08163241890631598,0.09637388493048428,0.06506268525938014,0.026295038420799867,,-0.12266546732149715,0.026295038420799867,0.004595380784969016,0.03779786830012596,0.022249349944822857,-0.01287714951650215,0.016784616979540774,-0.015311627412126683,0.020231843390110724,-0.09028580301633347,0.06333725247310901,0.016018306636155614,-0.019636174091399672,-0.04295944394874933
Sex_Padding,-0.2189024093152902,-0.16540029141618068,-0.1107971042345367,1.0,-0.25778864452726186,-0.5223518297693928,,-0.012375155289778894,-0.04887548754691331,0.09946695998256616,-0.14217747666533706,,-0.06296306899918189,-0.10297543049154968,0.11206797330831085,-0.048058953432865655,-0.08643281889519955,-0.022542333345386162,0.2216967414566145,-0.03983005454847565,,-0.27501050824252016,-0.03983005454847565,-0.16140254487332778,-0.05232461106529904,0.037525777840297994,-0.2135632870543903,-0.09797494794047289,0.23835700757380696,-0.09947477705353672,0.04960820391322784,0.02664324173390047,-0.07259120622262753,-0.15923057342141717,0.13946123058045093
Chest_Pain_0,-0.010060391348931523,-0.06403112096152609,-0.12245648015719887,-0.25778864452726186,1.0,-0.5773198398924699,,-0.06265850601082545,0.07095520620162797,-0.025119665039014652,-0.01764353152135804,,0.002931118010791965,-0.03484732837746545,0.0043869351868462275,-0.03761771601498281,0.03447665612763048,-0.02491450309173104,0.0739930375443209,0.06405901606330144,,-0.188591820607857,0.06405901606330144,-0.11949159227574778,0.054817072967160915,0.08194378538573033,-0.09458250483523757,-0.04112429712688511,0.046994368824533846,-0.02224245442615068,-0.09131504470210537,0.18237262535773083,-0.026412181994689924,-0.06808252638731212,-0.08263293848253718
Chest_Pain_1,0.16635582260995352,0.18491060686350266,-0.2481310477989949,-0.5223518297693928,-0.5773198398924698,1.0,,0.05130431049208227,-0.029566648559722186,-0.06314354095008232,0.15326897401325223,,0.02809176151099495,0.12095257923588253,-0.06255863410657561,0.07433995911220596,0.0034798736459497404,-0.0036641428057819377,-0.264284908610496,-0.03359124591834725,,0.426861113302568,-0.03359124591834725,0.2243770780817717,-0.021102355498227136,-0.10750069024199756,0.25223689863513166,0.10390623888995577,-0.21973124870356261,0.0878413993247495,0.07660281792917918,-0.2006122041667981,0.07203804613519214,0.19042173209096364,-0.02191689536392424
Chest_Pain_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chest_Pain_3,0.10770775863560919,-0.06276112321064088,0.024327990637904872,-0.012375155289778894,-0.06265850601082545,0.05130431049208226,,1.0,-0.5847189565226186,0.08762249647184495,-0.05660638548222538,,0.02772643004249102,-0.04488371641030563,-0.014838456596781603,-0.060168864622603915,0.07744295714081587,-0.0029090925779635905,0.26845839048707676,-0.5582054408885321,,0.22058666179080919,-0.5582054408885321,0.4290640549397826,-0.5230073216569819,0.01568907514532729,0.16735737840135614,0.026666750541039334,-0.19958492045058768,0.08371484735386295,-0.0912380241116565,0.04464127598477443,0.03742935453615687,0.11724372867883813,-0.14839994868209522
Chest_Pain_Padding,0.15392148862294916,0.11495610742731678,0.020198929081169242,-0.04887548754691331,0.07095520620162797,-0.029566648559722186,,-0.5847189565226186,1.0,-0.043449543571054815,0.040689270703436156,,0.16027412298198326,-0.07215939150192938,-0.12516248924745652,0.214917255679576,-0.0574362458340857,-0.012328778690921808,-0.5734679315232768,0.9546559670448095,,-0.1734084118281493,0.9546559670448095,-0.5526434638899116,0.8947944125423748,-0.1299289542269565,-0.18641178612192957,-0.054185177033065655,0.3341380668374851,-0.09545839951672722,0.1878386828128254,-0.13743114099326817,-0.0605967872435083,-0.09231555985818442,0.21433048613675357
Resting_BP,-0.04467409320743634,-0.17936268759621482,0.013570336605597666,0.09946695998256617,-0.02511966503901465,-0.06314354095008232,,0.08762249647184496,-0.043449543571054815,1.0,-0.7918435541932741,,0.08756465731179804,-0.3992621106731247,-0.06092916282947172,-0.10845626165032633,0.1818936870866188,-0.011751590859296418,0.1565549764793066,-0.01563443920559856,,0.006397378104618058,-0.01563443920559856,0.07970697875858161,-0.05143333559557512,0.011435622027806404,0.020341900276578496,-0.06261589046565857,0.0025924434855570336,0.1617006257331426,-0.2633368028239603,0.11682661775104523,-0.017850220103474913,-0.04244761812855739,-0.053476553693068675
