,Correlation
Resting_BP_Padding,0.4389549935396361
Chest_Pain_1,0.4267885991870176
Fasting_BS,0.4237248288220379
ST_Slope_2,0.396735467652329
Num_Vessels,0.31517017791932717
Age,0.30810824618848803
Age_Padding,0.2834151599244922
Thalassemia_1,0.276591393755339
Sex_Padding,0.2616287022438495
Thalassemia_0,0.26007745194831444
ST_Slope_Padding,0.2557089421925913
Resting_ECG_Padding,0.2524869588027072
Resting_BP,0.250083330786162
Thalassemia_2,0.21071648929678663
Chest_Pain_0,0.21046446568042218
Serum_Chol_Padding,0.20188293486654357
Exercise_Angina,0.19988236490434264
Resting_ECG_0,0.14750356704571965
ST_Depression_Padding,0.13467290001473572
ST_Depression,0.1337960294863754
Sex,0.11011664495827009
Max_Heart_Rate,0.09655496222905197
Exercise_Angina_Padding,0.09655496222905197
Chest_Pain_Padding,0.09655496222905195
ST_Slope_1,0.08934421403783104
Thalassemia_Padding,0.07660924565813708
ST_Slope_0,0.07393141429266074
Num_Vessels_Padding,0.06494936091820723
Resting_ECG_1,0.062462055053596956
Fasting_BS_Padding,0.05678803527882962
Chest_Pain_3,0.051562525114214726
Resting_ECG_2,5.293277877666779e-17
Chest_Pain_2,
Serum_Chol,
Max_Heart_Rate_Padding,
