,Correlation
Fasting_BS,0.5822502064513285
Sex_Padding,0.5809208824987298
ST_Slope_Padding,0.5410320449872666
Chest_Pain_1,0.4879129569976458
ST_Slope_1,0.40469715953002683
Resting_BP_Padding,0.375946161907099
ST_Slope_2,0.35986736543785197
Thalassemia_Padding,0.2866210275781268
Num_Vessels,0.276462771390157
Age_Padding,0.27398098074575034
Thalassemia_2,0.27359944348672127
Age,0.26604791231592645
Resting_ECG_Padding,0.24727954020095266
Exercise_Angina,0.23106029883472137
ST_Depression,0.21146792956559166
Resting_BP,0.21038735405663253
Resting_ECG_1,0.1662576270684141
Num_Vessels_Padding,0.14968450875017628
Fasting_BS_Padding,0.1452108326427128
Thalassemia_1,0.14007291732854096
Chest_Pain_3,0.13191297963533463
Sex,0.11056201870446943
ST_Slope_0,0.08926383610455418
Max_Heart_Rate,0.082073472966081
Exercise_Angina_Padding,0.082073472966081
Chest_Pain_Padding,0.08207347296608096
ST_Depression_Padding,0.07890490787708997
Serum_Chol_Padding,0.04502493579435967
Chest_Pain_0,0.011503915390116547
Thalassemia_0,0.002534025905474166
Resting_ECG_0,0.0007703838290974426
Resting_ECG_2,3.80085128326253e-14
Chest_Pain_2,
Serum_Chol,
Max_Heart_Rate_Padding,
