n_colonies,local_patience,sharing_frequency,sharing_ratio,initial_mu,lm_max_iterations,mean_accuracy,std_accuracy,n_runs,status
2,10,15,0.1,0.0001,10,0.9452380952380952,0.016666666666666663,2,SUCCESS
2,3,10,0.15,0.001,50,0.9595238095238096,0.0023809523809523725,2,SUCCESS
4,10,20,0.1,0.1,25,0.9666666666666667,0.004761904761904745,2,SUCCESS
3,3,10,0.15,0.001,50,0.969047619047619,0.011904761904761862,2,SUCCESS
2,10,20,0.15,0.01,100,0.9595238095238096,0.0023809523809523725,2,SUCCESS
2,10,15,0.1,0.0001,50,0.9595238095238096,0.0023809523809523725,2,SUCCESS
2,7,5,0.2,0.01,100,0.9595238095238096,0.0023809523809523725,2,SUCCESS
4,10,20,0.05,0.01,10,0.969047619047619,0.0023809523809523725,2,SUCCESS
2,5,15,0.15,0.0001,100,0.9595238095238096,0.0023809523809523725,2,SUCCESS
4,7,20,0.1,0.0001,100,0.9738095238095238,0.0023809523809523725,2,SUCCESS
4,10,20,0.1,0.01,25,0.9738095238095238,0.0023809523809523725,2,SUCCESS
5,7,10,0.05,0.001,50,0.9714285714285714,0.0,2,SUCCESS
4,3,15,0.2,0.01,25,0.9738095238095238,0.0023809523809523725,2,SUCCESS
2,5,10,0.15,0.001,10,0.9452380952380952,0.016666666666666663,2,SUCCESS
4,5,10,0.2,0.0001,50,0.9738095238095238,0.0023809523809523725,2,SUCCESS
3,7,20,0.05,0.0001,10,0.9738095238095238,0.0071428571428571175,2,SUCCESS
2,3,15,0.05,0.0001,50,0.9595238095238096,0.0023809523809523725,2,SUCCESS
2,3,10,0.2,0.01,50,0.9595238095238096,0.0023809523809523725,2,SUCCESS
2,5,10,0.2,0.1,100,0.9595238095238096,0.0023809523809523725,2,SUCCESS
2,10,10,0.2,0.1,100,0.9595238095238096,0.0023809523809523725,2,SUCCESS
2,10,15,0.2,0.01,10,0.9452380952380952,0.016666666666666663,2,SUCCESS
4,3,5,0.1,0.001,25,0.9738095238095238,0.0023809523809523725,2,SUCCESS
4,5,15,0.15,0.0001,25,0.9738095238095238,0.0023809523809523725,2,SUCCESS
2,3,10,0.15,0.1,10,0.9619047619047619,0.004761904761904745,2,SUCCESS
4,3,20,0.2,0.01,50,0.9738095238095238,0.0023809523809523725,2,SUCCESS
2,10,5,0.15,0.1,50,0.9595238095238096,0.0023809523809523725,2,SUCCESS
4,10,10,0.2,0.001,10,0.9666666666666667,0.004761904761904745,2,SUCCESS
4,7,10,0.15,0.001,25,0.9738095238095238,0.0023809523809523725,2,SUCCESS
4,10,5,0.2,0.01,10,0.9666666666666667,0.004761904761904745,2,SUCCESS
4,3,15,0.2,0.01,10,0.9738095238095238,0.0023809523809523725,2,SUCCESS
3,7,15,0.2,0.001,50,0.969047619047619,0.011904761904761862,2,SUCCESS
2,10,15,0.05,0.001,50,0.9595238095238096,0.0023809523809523725,2,SUCCESS
3,10,5,0.15,0.1,100,0.9595238095238096,0.0023809523809523725,2,SUCCESS
4,5,10,0.15,0.1,25,0.9666666666666667,0.004761904761904745,2,SUCCESS
3,3,10,0.2,0.0001,100,0.969047619047619,0.011904761904761862,2,SUCCESS
5,3,20,0.2,0.0001,100,0.9714285714285714,0.0,2,SUCCESS
5,5,20,0.15,0.01,10,0.9714285714285714,0.0,2,SUCCESS
2,3,5,0.1,0.01,50,0.9595238095238096,0.0023809523809523725,2,SUCCESS
5,3,5,0.15,0.001,10,0.9761904761904762,0.004761904761904745,2,SUCCESS
5,3,20,0.15,0.001,10,0.9714285714285714,0.0,2,SUCCESS
2,7,15,0.05,0.1,25,0.9642857142857143,0.0023809523809523725,2,SUCCESS
4,10,5,0.15,0.01,100,0.9666666666666667,0.004761904761904745,2,SUCCESS
3,7,20,0.05,0.0001,100,0.969047619047619,0.011904761904761862,2,SUCCESS
3,5,10,0.2,0.0001,25,0.9761904761904762,0.004761904761904745,2,SUCCESS
3,3,10,0.2,0.0001,50,0.969047619047619,0.011904761904761862,2,SUCCESS
2,7,10,0.2,0.1,10,0.9452380952380952,0.016666666666666663,2,SUCCESS
2,10,10,0.2,0.0001,25,0.9595238095238096,0.0023809523809523725,2,SUCCESS
5,10,10,0.1,0.0001,10,0.9666666666666667,0.004761904761904745,2,SUCCESS
5,3,5,0.2,0.001,100,0.9714285714285714,0.0,2,SUCCESS
3,5,10,0.15,0.0001,50,0.969047619047619,0.011904761904761862,2,SUCCESS
2,5,15,0.15,0.0001,50,0.9595238095238096,0.0023809523809523725,2,SUCCESS
2,5,10,0.2,0.01,100,0.9595238095238096,0.0023809523809523725,2,SUCCESS
3,7,5,0.1,0.001,10,0.9595238095238096,0.0023809523809523725,2,SUCCESS
